T_REC,NOAA_ARS,HARPNUM,MTOT,USFLUX,LON_MAX,LON_MIN,LAT_MAX,LAT_MIN,SIZE,LON,LAT,NormF,NormS
2012.03.15_03:00:00_TAI,11435,1471,1195250.5,1.084168e+21,2.641272,-5.854319,-23.659431,-26.995554,1777.592773,-1.6065235000000002,-25.327492499999998,0.06460025550089615,0.3850480961696136
2012.03.15_04:00:00_TAI,11435,1471,1277886.75,1.140123e+21,3.30764,-5.59387,-23.656614,-27.122305,1925.977173,-1.1431149999999999,-25.3894595,0.06793433960645236,0.4171899520485869
2012.03.15_05:00:00_TAI,11435,1471,1394479.25,1.319188e+21,3.938628,-5.19052,-23.683289,-27.216753,2040.762573,-0.6259460000000001,-25.450021,0.07860394501010562,0.442053858118297
2012.03.15_06:00:00_TAI,11435,1471,1494715.75,1.389234e+21,4.569498,-4.687391,-23.675402,-27.308733,2134.884521,-0.05894649999999979,-25.492067499999997,0.08277764271822445,0.4624418105422999
2012.03.15_09:00:00_TAI,11435,1471,1679242.875,1.943207e+21,6.370413,-3.145694,-23.59602,-27.397211,2304.040527,1.6123595,-25.496615499999997,0.1157861776875262,0.49908304753159755
2012.03.15_11:00:00_TAI,11435,1471,1731218.75,1.541407e+21,7.523984,-2.293585,-23.556255,-27.553877,2457.063721,2.6151994999999997,-25.555066,0.0918448856919498,0.5322297223012374
2012.03.15_12:00:00_TAI,11435,1471,1715512.5,1.474058e+21,8.151426,-1.792249,-23.573854,-27.548937,2486.922607,3.1795885000000004,-25.5613955,0.08783188899058078,0.5386975181781537
2012.03.15_13:00:00_TAI,11435,1471,1685481.0,1.38787e+21,8.722118,-1.257017,-23.567129,-27.546131,2502.783936,3.7325505,-25.55663,0.08269636864584526,0.5421332738961873
2012.03.15_14:00:00_TAI,11435,1471,1680889.75,1.392555e+21,9.288238,-0.719702,-23.561518,-27.544083,2502.726074,4.284268,-25.5528005,0.08297552482553484,0.5421207402870959
2012.03.15_15:00:00_TAI,11435,1471,1699582.125,1.379937e+21,9.891611,-0.286938,-23.577692,-27.634663,2563.038086,4.8023365,-25.6061775,0.0822236800709301,0.5551850516127804
2012.03.15_16:00:00_TAI,11435,1471,1726648.75,1.313025e+21,10.483962,0.216277,-23.574268,-27.631668,2576.502197,5.3501195,-25.602968,0.0782367220569729,0.5581015409155675
2012.03.15_17:00:00_TAI,11435,1471,1744105.875,1.337513e+21,11.093835,0.749792,-23.569603,-27.62912,2618.7229,5.9218135,-25.5993615,0.07969584191358732,0.567247055881662
